Date,Open,High,Low,Close,Gain,Volume,Adj Close
2014-07-23,57983.0,57983.0,57142.0,57420.0,Loss,2735100,57420.0
2014-07-22,57636.0,58138.0,57500.0,57983.0,Gain,3010300,57983.0
2014-07-21,57014.0,57756.0,56864.0,57634.0,Gain,3034800,57634.0
2014-07-18,55639.0,57484.0,55639.0,57013.0,Gain,5296300,57013.0
2014-07-17,55712.0,56190.0,55237.0,55638.0,Loss,3975700,55638.0
2014-07-16,55973.0,56332.0,55573.0,55717.0,Loss,4094500,55717.0
2014-07-15,55742.0,56107.0,55629.0,55974.0,Gain,3222300,55974.0
2014-07-14,54786.0,55896.0,54786.0,55744.0,Gain,4170300,55744.0
2014-07-11,54593.0,54952.0,54320.0,54786.0,Gain,3377200,54786.0
2014-07-10,53643.0,54600.0,53643.0,54593.0,Gain,4720300,54593.0
2014-07-09,53635.0,53635.0,53635.0,53635.0,Gain,0,53635.0
2014-07-08,53813.0,53905.0,53459.0,53634.0,Loss,1854600,53634.0
2014-07-07,54042.0,54042.0,53376.0,53802.0,Loss,2194500,53802.0
2014-07-04,53893.0,54087.0,53704.0,54056.0,Gain,753800,54056.0
2014-07-03,53029.0,53877.0,52760.0,53875.0,Gain,3302900,53875.0
2014-07-02,53171.0,53245.0,52735.0,53029.0,Loss,3156000,53029.0
2014-07-01,53170.0,53698.0,52887.0,53172.0,Gain,2693300,53172.0
2014-06-30,53159.0,53311.0,52709.0,53168.0,Gain,2448700,53168.0
2014-06-27,53507.0,53614.0,52919.0,53157.0,Loss,2370800,53157.0
2014-06-26,53427.0,53790.0,53331.0,53507.0,Gain,2241300,53507.0
2014-06-25,54281.0,54393.0,53363.0,53426.0,Loss,2953100,53426.0
2014-06-24,54194.0,55002.0,54094.0,54281.0,Gain,3121500,54281.0
2014-06-23,54637.0,54724.0,54097.0,54210.0,Loss,1403100,54210.0
2014-06-20,55192.0,55192.0,54540.0,54638.0,Loss,2347800,54638.0
2014-06-19,55203.0,55203.0,55203.0,55203.0,Gain,0,55203.0
2014-06-18,54300.0,55202.0,54046.0,55202.0,Gain,3265400,55202.0
2014-06-17,54630.0,54638.0,54150.0,54300.0,Loss,1588400,54300.0
2014-06-16,54807.0,54855.0,54475.0,54630.0,Loss,2637400,54630.0
2014-06-13,55102.0,55104.0,54649.0,54807.0,Loss,2664400,54807.0
2014-06-12,55102.0,55102.0,55102.0,55102.0,Gain,0,55102.0
2014-06-11,54677.0,55284.0,54677.0,55102.0,Gain,3796000,55102.0
2014-06-10,54273.0,54604.0,53960.0,54604.0,Gain,3729900,54604.0
2014-06-09,53129.0,54462.0,53091.0,54273.0,Gain,3660000,54273.0
2014-06-06,51562.0,53175.0,51562.0,53129.0,Gain,4298400,53129.0
2014-06-05,51833.0,52245.0,51470.0,51559.0,Loss,2890000,51559.0
2014-06-04,52032.0,52032.0,51609.0,51833.0,Loss,2571500,51833.0
2014-06-03,51606.0,52032.0,51377.0,52032.0,Gain,2859400,52032.0
2014-06-02,51239.0,51879.0,51239.0,51606.0,Gain,2597900,51606.0
2014-05-30,52233.0,52233.0,51239.0,51239.0,Loss,4533200,51239.0
2014-05-29,52649.0,52889.0,52031.0,52239.0,Loss,2394300,52239.0
2014-05-28,52174.0,52858.0,52009.0,52640.0,Gain,2842500,52640.0
2014-05-27,52932.0,53309.0,52079.0,52174.0,Loss,2894700,52174.0
2014-05-26,52650.0,53044.0,52650.0,52933.0,Gain,1186800,52933.0
2014-05-23,52808.0,52936.0,52403.0,52626.0,Loss,2462300,52626.0
2014-05-22,52206.0,52851.0,52133.0,52806.0,Gain,2941400,52806.0
2014-05-21,52366.0,52875.0,52203.0,52203.0,Loss,3248100,52203.0
2014-05-20,53353.0,53843.0,52313.0,52366.0,Loss,3948600,52366.0
2014-05-19,53976.0,53991.0,53267.0,53353.0,Loss,3089500,53353.0
2014-05-16,53856.0,54382.0,53709.0,53976.0,Gain,3541400,53976.0
2014-05-15,54404.0,54404.0,53565.0,53856.0,Loss,3436100,53856.0
2014-05-14,53913.0,54459.0,53867.0,54413.0,Gain,2878900,54413.0
2014-05-13,54056.0,54243.0,53731.0,53907.0,Loss,2956600,53907.0
2014-05-12,53103.0,54053.0,53103.0,54053.0,Gain,2744300,54053.0
2014-05-09,53422.0,53639.0,53057.0,53100.0,Loss,3177900,53100.0
2014-05-08,54053.0,54249.0,53222.0,53422.0,Loss,3344300,53422.0
2014-05-07,53786.0,54226.0,53499.0,54053.0,Gain,4569600,54053.0
2014-05-06,53446.0,53986.0,53094.0,53780.0,Gain,4965700,53780.0
2014-05-05,52989.0,53506.0,52931.0,53446.0,Gain,4441100,53446.0
2014-05-02,51630.0,53060.0,51628.0,52980.0,Gain,8106000,52980.0
2014-05-01,51627.0,51627.0,51627.0,51627.0,Gain,0,51627.0
2014-04-30,51838.0,51838.0,51251.0,51627.0,Loss,4623600,51627.0
2014-04-29,51386.0,52416.0,51386.0,51839.0,Gain,4326300,51839.0
2014-04-28,51397.0,51472.0,50777.0,51384.0,Loss,2711300,51384.0
2014-04-25,51817.0,51817.0,51019.0,51399.0,Loss,2954700,51399.0
2014-04-24,51570.0,51963.0,51238.0,51817.0,Gain,3186900,51817.0
2014-04-23,51975.0,51975.0,51400.0,51570.0,Loss,2844000,51570.0
2014-04-22,52112.0,52460.0,51682.0,51977.0,Loss,3492900,51977.0
2014-04-21,52112.0,52112.0,52112.0,52112.0,Gain,0,52112.0
2014-04-18,52112.0,52112.0,52112.0,52112.0,Gain,0,52112.0
2014-04-17,51200.0,52338.0,50886.0,52111.0,Gain,3015500,52111.0
2014-04-16,50469.0,51288.0,50469.0,51201.0,Gain,3427100,51201.0
2014-04-15,51593.0,51593.0,49890.0,50454.0,Loss,3858800,50454.0
2014-04-14,51867.0,52110.0,51361.0,51597.0,Loss,2686800,51597.0
2014-04-11,51128.0,51871.0,50518.0,51867.0,Gain,3395300,51867.0
2014-04-10,51185.0,51522.0,50732.0,51128.0,Loss,3588900,51128.0
2014-04-09,51629.0,51629.0,50653.0,51185.0,Loss,4195300,51185.0
2014-04-08,52173.0,53394.0,51377.0,51629.0,Loss,5496100,51629.0
2014-04-07,51115.0,52229.0,51115.0,52155.0,Gain,3673400,52155.0
2014-04-04,51428.0,52288.0,51034.0,51082.0,Loss,3696200,51082.0
2014-04-03,51712.0,51991.0,51059.0,51408.0,Loss,3503400,51408.0
2014-04-02,50273.0,51794.0,50201.0,51701.0,Gain,4790700,51701.0
2014-04-01,50412.0,50627.0,49774.0,50270.0,Loss,3501200,50270.0
2014-03-31,49770.0,50418.0,49770.0,50415.0,Gain,3645900,50415.0
2014-03-28,49653.0,50181.0,49606.0,49768.0,Gain,4230500,49768.0
2014-03-27,47965.0,49647.0,47962.0,49647.0,Gain,5928200,49647.0
2014-03-26,48182.0,48725.0,47963.0,47966.0,Loss,3439100,47966.0
2014-03-25,47993.0,48441.0,47950.0,48180.0,Gain,2953800,48180.0
2014-03-24,47382.0,48142.0,47382.0,47993.0,Gain,3008900,47993.0
2014-03-21,47272.0,47832.0,46721.0,47381.0,Gain,4187600,47381.0
2014-03-20,46565.0,47484.0,46151.0,47279.0,Gain,4364800,47279.0
2014-03-19,46153.0,46803.0,45910.0,46567.0,Gain,3337700,46567.0
2014-03-18,45115.0,46217.0,45075.0,46151.0,Gain,3593900,46151.0
2014-03-17,44979.0,45499.0,44969.0,45118.0,Gain,2929300,45118.0
2014-03-14,45444.0,45562.0,44905.0,44966.0,Loss,3477100,44966.0
2014-03-13,45864.0,46176.0,45250.0,45444.0,Loss,3118200,45444.0
2014-03-12,45687.0,45916.0,45508.0,45862.0,Gain,3021300,45862.0
2014-03-11,45533.0,46050.0,45401.0,45698.0,Gain,3281500,45698.0
2014-03-10,46242.0,46242.0,45204.0,45533.0,Loss,3673600,45533.0
2014-03-07,47093.0,47218.0,46086.0,46244.0,Loss,3982800,46244.0
2014-03-06,46592.0,47401.0,46502.0,47093.0,Gain,3164900,47093.0
2014-03-05,47092.0,47154.0,46473.0,46589.0,Loss,2293000,46589.0
2014-03-04,47094.0,47094.0,47094.0,47094.0,Gain,0,47094.0
2014-03-03,47094.0,47094.0,47094.0,47094.0,Gain,0,47094.0
2014-02-28,47614.0,47813.0,47043.0,47094.0,Loss,4088300,47094.0
2014-02-27,46622.0,47781.0,46622.0,47607.0,Gain,3046300,47607.0
2014-02-26,46718.0,47010.0,46403.0,46599.0,Loss,3225700,46599.0
2014-02-25,47388.0,47388.0,46614.0,46716.0,Loss,2924800,46716.0
2014-02-24,47376.0,47539.0,46991.0,47394.0,Gain,2990700,47394.0
2014-02-21,47290.0,47816.0,47075.0,47380.0,Gain,2605800,47380.0
2014-02-20,47127.0,47600.0,46634.0,47289.0,Gain,2996900,47289.0
2014-02-19,46597.0,47155.0,46134.0,47151.0,Gain,3995400,47151.0
2014-02-18,47575.0,47712.0,46600.0,46600.0,Loss,3860000,46600.0
2014-02-17,48200.0,48298.0,47540.0,47576.0,Loss,1884200,47576.0
2014-02-14,47816.0,48314.0,47756.0,48201.0,Gain,3192200,48201.0
2014-02-13,48211.0,48211.0,47129.0,47813.0,Loss,3167100,47813.0
2014-02-12,48467.0,48669.0,48044.0,48217.0,Loss,2766300,48217.0
2014-02-11,47715.0,48604.0,47589.0,48463.0,Gain,3379300,48463.0
2014-02-10,48070.0,48136.0,47465.0,47711.0,Loss,2634500,47711.0
2014-02-07,47739.0,48253.0,47557.0,48074.0,Gain,3195800,48074.0
